Date,Open,High,Low,Close,Adj Close,Volume
2021-07-20,225500.000000,229500.000000,225000.000000,227000.000000,227000.000000,636495
2021-07-21,231500.000000,232000.000000,227500.000000,228000.000000,228000.000000,631902
2021-07-22,228500.000000,231500.000000,227500.000000,228500.000000,228500.000000,790428
2021-07-23,229000.000000,229000.000000,224000.000000,225500.000000,225500.000000,1574776
2021-07-26,225500.000000,226500.000000,224000.000000,224500.000000,224500.000000,719330
2021-07-27,225500.000000,226500.000000,224000.000000,225000.000000,225000.000000,738143
2021-07-28,225000.000000,225000.000000,221000.000000,222500.000000,222500.000000,886854
2021-07-29,223000.000000,224000.000000,222000.000000,222000.000000,222000.000000,496679
2021-07-30,222000.000000,222000.000000,218000.000000,218000.000000,218000.000000,909716
2021-08-02,218000.000000,220500.000000,217000.000000,220000.000000,220000.000000,676544
2021-08-03,219000.000000,223500.000000,218000.000000,223500.000000,223500.000000,775231
2021-08-04,224000.000000,225000.000000,222500.000000,225000.000000,225000.000000,542319
2021-08-05,223000.000000,224500.000000,222500.000000,223000.000000,223000.000000,470741
2021-08-06,224500.000000,225000.000000,222500.000000,222500.000000,222500.000000,384056
2021-08-09,220500.000000,222500.000000,220000.000000,221000.000000,221000.000000,582236
2021-08-10,220500.000000,221000.000000,218500.000000,219000.000000,219000.000000,497715
2021-08-11,219000.000000,220500.000000,218000.000000,218500.000000,218500.000000,490442
2021-08-12,220000.000000,224000.000000,219000.000000,219000.000000,219000.000000,862826
2021-08-13,221500.000000,221500.000000,214000.000000,217000.000000,217000.000000,864375
2021-08-17,216000.000000,217000.000000,211000.000000,213000.000000,213000.000000,863610
2021-08-18,211000.000000,214000.000000,209000.000000,212500.000000,212500.000000,671920
2021-08-19,212500.000000,212500.000000,205000.000000,206500.000000,206500.000000,1180734
2021-08-20,207000.000000,208000.000000,200000.000000,201500.000000,201500.000000,1310974
2021-08-23,203000.000000,206000.000000,201500.000000,204000.000000,204000.000000,848219
2021-08-24,206000.000000,211000.000000,206000.000000,209500.000000,209500.000000,745430
2021-08-25,210000.000000,212500.000000,207500.000000,209500.000000,209500.000000,477019
2021-08-26,209500.000000,212000.000000,208000.000000,210000.000000,210000.000000,417323
2021-08-27,209000.000000,209500.000000,205000.000000,208500.000000,208500.000000,502218
2021-08-30,211000.000000,212500.000000,210000.000000,210000.000000,210000.000000,409963
2021-08-31,210000.000000,212500.000000,208000.000000,212500.000000,212500.000000,777103
2021-09-01,214000.000000,218500.000000,213500.000000,215000.000000,215000.000000,855937
2021-09-02,214000.000000,215000.000000,210000.000000,211500.000000,211500.000000,645973
